Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63354300,"The Great Dechurching: Who’s Leaving, Why Are They Going, and What Will It Take to Bring Them Back?",Jim  Davis,"Davis, Jim","Michael Graham, Ryan P. Burge","=""0310147433""","=""9780310147435""",0,Zondervan,Hardcover,272,2023,,2025/07/14,2025/06/05,,,read,,,,1,0
38135623,天真汉 (伏尔泰作品集) (Chinese Edition),Voltaire,"Voltaire, Voltaire",,"=""""","=""""",0,上海译文出版社,Kindle Edition,182,2017,1767,2025/07/12,2025/06/17,,,read,,,,1,0
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0679723056""","=""9780679723059""",0,Vintage Contemporaries,Paperback,159,1989,1981,2025/07/12,2025/07/03,,,read,,,,1,0
48917953,鼠疫,Albert Camus,"Camus, Albert","阿爾貝．卡繆, 顏湘如","=""""","=""""",0,麥田,Kindle Edition,235,2012,1947,2025/07/08,2025/07/02,,,read,,,,1,0
824412,A Secular Age,Charles Margrave Taylor,"Taylor, Charles Margrave",,"=""0674026764""","=""9780674026766""",0,Belknap,Hardcover,874,2007,2007,,2025/07/08,to-read,to-read (#5),to-read,,,,0,0
36651676,局外人,Albert Camus,"Camus, Albert","阿尔贝·加缪, 柳鸣九","=""""","=""""",0,上海译文出版社,Kindle Edition,66,2013,1942,,2025/06/09,,,read,,,,1,0
57846996,"Red Roulette: An Insider's Story of Wealth, Power, Corruption, and Vengeance in Today's China",Desmond Shum,"Shum, Desmond",Tim Chiou,"=""1398510394""","=""9781398510395""",0,Simon & Schuster Audio UK,Audiobook,,2021,2021,2025/07/01,2025/06/08,,,read,,,,1,0
203774224,法律的悖论,罗翔,"罗翔, 罗翔",,"=""7222221832""","=""9787222221833""",0,云南人民出版社,Paperback,254,2023,2023,2025/06/23,2025/05/18,,,read,,,,1,0
17259893,小王子,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",圣埃克苏佩里,"=""""","=""""",0,,Paperback,112,2010,1943,2025/06/23,2025/06/09,,,read,,,,1,0
27840555,No God but One: Allah or Jesus?: A Former Muslim Investigates the Evidence for Islam and Christianity,Nabeel Qureshi,"Qureshi, Nabeel",,"=""0310522552""","=""9780310522553""",0,Zondervan,Paperback,320,2016,2016,2025/05/29,2025/05/23,,,read,,,,1,0
152344,Victory Over the Darkness,Neil T. Anderson,"Anderson, Neil T.",,"=""0830725644""","=""9780830725649""",0,GLP,Paperback,256,1991,1990,2025/05/28,2025/05/23,,,read,,,,1,0
52104820,圆圈正义：作为自由前提的信念,LUO XIANG,"XIANG, LUO",,"=""752160377X""","=""9787521603774""",0,中国法制出版社,Paperback,307,2019,,2025/05/26,2025/05/04,,,read,,,,1,0
41889692,当呼吸化为空气,Paul Kalanithi,"Kalanithi, Paul",,"=""""","=""""",0,浙江文艺出版社,Kindle Edition,148,2016,2016,,2025/05/04,,,read,,,,1,0
23336950,A Pearl Necklace,Mi Xue,"Xue, Mi",,"=""0578149583""","=""9780578149585""",0,"Layman's Foundation, Inc.",Hardcover,288,2014,2014,2025/05/13,2025/05/04,,,read,,,,1,0
52884924,走到比錢更遠的地方,陳維恩,"陳維恩, 陳維恩",,"=""9869716814""","=""9789869716819""",0,格子外面,Paperback,254,2019,,,2025/05/04,,,read,,,,1,0
38819247,Food and Nutrition: What Everyone Needs to Know®,P.K. Newby,"Newby, P.K.",,"=""0190846631""","=""9780190846633""",0,Oxford University Press,Paperback,316,2018,,,2025/05/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
211854307,康熙的红票：全球化中的清朝,Litian Swen,"Swen, Litian",孙立天,"=""7100234247""","=""9787100234245""",0,商务印书馆,Hardcover,400,2024,,,2025/05/04,,,read,,,,1,0
210594797,A Pearl Necklace《珍珠项链》中文简体,雪 米,"米, 雪",,"=""""","=""""",0,,Kindle Edition,191,2023,,,2025/05/04,,,read,,,,1,0
32899495,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,"Géron, Aurélien",,"=""""","=""""",0,O'Reilly Media,ebook,450,2017,2017,,2022/10/05,to-read,to-read (#4),to-read,,,,0,0
38606117,Java编程的逻辑 (Java核心技术系列) (Chinese Edition),马俊昌,"马俊昌, 马俊昌",,"=""""","=""""",0,机械工业出版社,Kindle Edition,1308,2018,,,2021/09/27,to-read,to-read (#3),to-read,,,,0,0
52935138,The Secret Life of Programs: Understand Computers -- Craft Better Code,Jon Steinhart,"Steinhart, Jon",,"=""""","=""""",0,No Starch Press,Kindle Edition,504,2019,,,2021/04/29,to-read,to-read (#2),to-read,,,,0,0
52555533,Algorithmic Thinking: A Problem-Based Introduction,Daniel Zingaro,"Zingaro, Daniel",,"=""1718500807""","=""9781718500808""",0,No Starch Press,Paperback,408,2020,,,2021/04/29,to-read,to-read (#1),to-read,,,,0,0
